package	policy	reason	validation
examples/app/custom_loop	screenshot-excluded	Custom runner example reads stdin and exits through app control flow; it has no Bevy visual frame.	moon -C mgstudio-engine run --target native --release examples/app/custom_loop
examples/app/empty	screenshot-excluded	Empty App example has no plugins, window, camera, or renderer output.	moon -C mgstudio-engine run --target native --release examples/app/empty
examples/app/headless	screenshot-excluded	ScheduleRunner headless counter example is console-only and intentionally has no window.	moon -C mgstudio-engine run --target native --release examples/app/headless
examples/app/headless_renderer	offscreen-output	Headless renderer writes render-target PNG files instead of presenting a window screenshot.	moon -C mgstudio-engine run --target native --release examples/app/headless_renderer
examples/app/log_layers	screenshot-excluded	Logging layer composition example demonstrates console log formatting and has no camera or UI in Bevy.	moon -C mgstudio-engine run --target native --release examples/app/log_layers
examples/app/log_layers_ecs	visual-reference	Bevy renders a Camera2d log viewer UI populated from captured log events.	mgstudio-engine/examples/app/log_layers_ecs/reference.png
examples/app/logs	visual-reference	Bevy renders Camera2d UI text instructing the user to press P.	mgstudio-engine/examples/app/logs/reference.png
examples/app/no_renderer	screenshot-excluded	Bevy intentionally disables the renderer; the example only demonstrates app startup without rendering.	moon -C mgstudio-engine run --target native --release examples/app/no_renderer
examples/app/without_winit	screenshot-excluded	No WinitPlugin event loop is installed, so there is no interactive window screenshot target.	moon -C mgstudio-engine run --target native --release examples/app/without_winit
examples/audio/audio	screenshot-excluded	Bevy audio playback example only spawns an AudioPlayer and has no camera or UI.	moon -C mgstudio-engine check --target native examples/audio/audio
examples/audio/audio_control	visual-reference	Bevy audio control example renders progress and keyboard instruction UI.	mgstudio-engine/examples/audio/audio_control/reference.png
examples/audio/decodable	screenshot-excluded	Bevy custom decodable audio example registers and plays audio without any camera or UI.	moon -C mgstudio-engine check --target native examples/audio/decodable
examples/audio/soundtrack	screenshot-excluded	Bevy soundtrack state-transition example changes audio tracks without any camera or UI.	moon -C mgstudio-engine check --target native examples/audio/soundtrack
examples/audio/spatial_audio_2d	visual-reference	Bevy spatial audio 2D example renders emitter/listener indicators and instructions.	mgstudio-engine/examples/audio/spatial_audio_2d/reference.png
examples/audio/spatial_audio_3d	visual-reference	Bevy spatial audio 3D example renders emitter/listener indicators, light, camera, and instructions.	mgstudio-engine/examples/audio/spatial_audio_3d/reference.png
examples/hello_world	screenshot-excluded	Standalone hello-world println example has no app, window, camera, or renderer.	moon -C mgstudio-engine run --target native --release examples/hello_world
examples/hello_world/hello_world	screenshot-excluded	Update-system hello-world example prints to stdout and has no visual frame.	moon -C mgstudio-engine run --target native --release examples/hello_world/hello_world
